pid,Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits_All,New_AOI_Hits_All
wpi61740g669f912366,CC1.png,Left,0,72,45,20,50,92,39,5,16,16,1093,0,4,2,0,23,17,6,16,28,14,2,6,4,95,0,1,1,361,118
wpi61740g669f912366,CC10.png,Right,3,14,5,0,0,0,7,40,11,42,318,0,14,0,1,4,2,0,0,0,3,10,3,10,26,0,3,0,136,36
wpi61740g669f912366,CC11.png,Right,0,30,0,23,0,2,6,6,2,32,281,0,0,3,0,11,0,3,0,1,3,2,1,9,20,0,0,1,104,31
wpi61740g669f912366,CC12.png,Right,0,6,0,14,0,7,8,15,12,12,334,0,0,6,0,1,0,6,0,2,4,4,3,3,21,0,0,2,80,25
wpi61740g669f912366,CC2.png,Left,4,62,57,57,11,15,28,8,2,6,811,0,1,2,1,14,19,13,4,4,11,3,1,3,65,0,1,1,253,75
wpi61740g669f912366,CC3.png,Left,0,15,3,4,7,10,14,0,0,2,237,0,0,4,0,5,2,2,4,3,7,0,0,1,21,0,0,1,59,25
wpi61740g669f912366,CC4.png,Left,0,4,27,62,31,35,19,17,10,28,521,0,0,0,0,2,6,17,9,8,7,6,3,8,53,0,0,0,233,66
wpi61740g669f912366,CC5.png,Left,0,26,30,6,43,25,14,0,7,0,350,0,2,10,0,5,8,2,10,9,6,0,3,0,35,0,1,3,163,47
wpi61740g669f912366,CC6.png,Left,2,7,21,19,17,35,11,2,0,5,319,0,0,0,1,3,8,7,6,12,4,1,0,2,36,0,0,0,119,44
wpi61740g669f912366,CC7.png,Right,0,50,3,24,3,13,35,34,62,60,967,4,11,0,0,16,1,9,1,3,15,14,26,26,94,1,4,0,299,116
wpi61740g669f912366,CC8.png,Right,3,6,0,52,0,7,63,11,9,38,469,2,3,27,1,4,0,13,0,2,13,4,6,12,54,1,3,10,221,69
wpi61740g669f912366,CC9.png,Right,0,9,0,34,0,6,23,19,3,15,340,0,0,13,0,4,0,11,0,2,6,5,2,8,35,0,0,4,122,42
wpi61740g669f912366,P1.png,Left,0,12,41,0,87,18,52,7,39,34,437,2,24,4,0,2,10,0,21,7,6,1,6,11,50,1,4,1,320,70
wpi61740g669f912366,P10.png,Right,8,124,4,42,10,4,86,55,12,41,1009,25,48,0,4,41,2,9,2,2,24,21,5,14,121,8,17,0,459,149
wpi61740g669f912366,P11.png,Right,0,29,5,30,1,7,13,8,24,27,407,0,1,6,0,12,2,11,1,2,3,4,7,8,47,0,1,3,151,54
wpi61740g669f912366,P12.png,Right,0,75,3,62,9,7,132,26,3,27,719,6,22,2,0,30,1,23,4,4,27,12,2,11,108,2,8,1,374,125
wpi61740g669f912366,P2.png,Left,2,5,33,2,11,6,78,13,2,15,354,3,13,0,1,3,13,1,5,3,28,5,1,6,59,2,7,0,183,75
wpi61740g669f912366,P3.png,Left,0,17,8,5,16,25,23,0,0,0,270,0,0,5,0,5,3,3,6,6,7,0,0,0,29,0,0,3,99,33
wpi61740g669f912366,P4.png,Left,2,37,18,3,7,7,30,18,2,1,468,0,4,0,1,16,9,2,3,3,14,6,1,1,46,0,1,0,129,57
wpi61740g669f912366,P5.png,Left,0,2,38,3,4,2,29,27,25,26,399,3,14,0,0,1,11,1,2,1,7,9,9,7,45,2,6,0,173,56
wpi61740g669f912366,P6.png,Left,7,125,100,86,86,68,151,9,8,38,1682,1,33,1,2,33,38,29,31,35,49,2,2,15,203,1,11,1,713,249
wpi61740g669f912366,P7.png,Right,0,5,0,16,0,0,22,24,4,10,235,0,8,0,0,2,0,4,0,0,6,8,2,4,22,0,2,0,89,28
wpi61740g669f912366,P8.png,Right,0,27,17,11,29,29,45,0,0,0,614,0,18,3,0,8,7,4,9,8,17,0,0,0,53,0,8,1,179,62
wpi61740g669f912366,P9.png,Right,5,17,1,12,28,9,10,0,0,2,298,0,4,1,2,5,1,5,10,5,4,0,0,1,27,0,1,1,89,35
wpi61733866534x70k0,CC1.png,Left,0,14,0,12,4,6,6,0,0,0,614,0,0,0,0,7,0,5,2,3,3,0,0,0,17,0,0,0,42,20
wpi61733866534x70k0,CC10.png,Right,0,0,0,0,0,0,6,0,0,0,435,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,2
wpi61733866534x70k0,CC11.png,Right,0,0,0,0,0,0,0,0,4,0,752,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,2
wpi61733866534x70k0,CC12.png,Right,0,0,0,0,0,0,0,2,0,0,518,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1
wpi61733866534x70k0,CC2.png,Left,3,32,22,18,18,14,41,2,2,2,1181,6,6,26,1,16,11,9,9,7,16,1,1,1,72,3,3,11,192,89
wpi61733866534x70k0,CC3.png,Left,2,20,20,18,10,14,51,2,0,2,1034,0,4,4,1,9,10,8,5,7,19,1,0,1,54,0,2,2,147,65
wpi61733866534x70k0,CC4.png,Left,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wpi61733866534x70k0,CC5.png,Left,0,4,2,6,0,4,9,0,0,0,655,2,2,0,0,2,1,2,0,2,4,0,0,0,11,1,1,0,29,13
wpi61733866534x70k0,CC6.png,Left,0,4,0,0,0,2,6,0,0,0,666,0,0,0,0,2,0,0,0,1,3,0,0,0,7,0,0,0,12,6
wpi61733866534x70k0,CC7.png,Right,0,8,12,10,12,2,12,10,26,16,949,0,2,8,0,4,5,4,6,1,5,4,12,7,40,0,1,4,118,53
wpi61733866534x70k0,CC8.png,Right,2,2,2,2,0,0,4,2,2,2,888,0,0,0,1,1,1,1,0,0,2,1,1,1,10,0,0,0,18,9
wpi61733866534x70k0,CC9.png,Right,0,6,0,0,0,0,6,14,10,4,790,0,4,4,0,2,0,0,0,0,3,6,4,2,19,0,2,2,48,21
wpi61733866534x70k0,P1.png,Left,0,4,4,9,4,2,17,0,0,0,528,6,0,4,0,1,2,4,2,1,8,0,0,0,18,2,0,2,50,22
wpi61733866534x70k0,P10.png,Right,0,0,0,6,0,2,36,26,8,4,545,0,4,2,0,0,0,3,0,1,17,12,4,2,38,0,2,1,88,42
wpi61733866534x70k0,P11.png,Right,0,18,2,10,0,2,22,12,12,2,587,8,12,2,0,9,1,5,0,1,8,5,4,1,36,3,6,1,102,44
wpi61733866534x70k0,P12.png,Right,2,14,4,6,2,8,26,12,12,14,779,4,4,0,1,6,2,3,1,4,10,6,6,7,42,2,2,0,108,50
