pid,date,Condition,OS,MA_EM_1,MA_EM_2,MA_EM_3,MA_EM_4,MA_WO_1,MA_WO_2,MA_WO_3,MA_WO_4,MA_EV_1,MA_EV_2,MA_EV_3,age,gender,race_ethnicity
WPI6_173y3b374550702,2024-12-05_00h12.11.167,Congruent,Win32,2,2,2,1,3,5,3,2,4,3,5,20,2,1
WPI6_17f339q34159746,2024-12-11_11h42.08.432,Congruent,Win32,4,4,4,4,4,4,4,5,4,3,4,20,1,1
WPI6_17g334u18281498,2024-12-05_12h25.47.825,Congruent,Win32,2,1,2,2,4,2,3,4,4,4,3,19,1,1
WPI6_17gc32670874638,2024-11-26_20h45.09.820,Incongruent,Win32,2,1,2,2,3,4,3,2,3,5,4,20,2,1
WPI6_17h3110578387b4,2024-11-08_18h02.42.691,Incongruent,Win32,3,2,5,5,5,5,3,5,5,5,5,18,2,2
WPI6_17m3326052i0740,2024-12-03_16h32.13.750,Congruent,MacIntel,2,1,2,1,2,1,2,3,2,3,2,19,2,1
WPI6_17n3308449928h0,2024-12-01_15h36.55.290,Congruent,MacIntel,3,2,3,4,4,3,4,4,3,3,4,18,2,1
WPI6_17pd30418782931,2024-10-31_20h09.17.922,Congruent,MacIntel,2,2,2,1,3,2,3,3,4,3,4,19,2,5
WPI6_17t29952p498059,2024-10-26_10h43.43.925,Incongruent,MacIntel,4,3,5,4,5,5,5,4,5,4,5,19,2,2
WPI6_17v297313h20163,2024-10-23_21h13.12.143,Incongruent,Win32,2,2,2,2,3,3,2,3,3,3,3,18,2,1
WPI6_17z337n71914500,2024-12-09_14h39.35.670,Incongruent,Win32,3,1,1,1,4,3,3,2,5,5,5,18,2,2
WPI6_1c730p668698806,2024-11-03_16h36.12.916,Incongruent,Win32,3,2,2,1,3,3,2,4,2,2,4,18,1,1
WPI6_1c731899243p416,2024-11-17_22h29.21.651,Congruent,Win32,5,5,2,2,4,5,2,3,2,1,3,19,2,1
WPI6_1c73t3962767618,2024-12-11_21h03.08.659,Incongruent,Win32,4,2,3,3,3,3,4,4,3,2,4,18,2,5
WPI6_1d732z553804786,2024-11-25_12h14.30.148,Congruent,Win32,3,2,1,1,1,1,1,1,1,1,1,18,2,1
