,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Trial Type,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Color Word Shown,Color Ink Shown,Color Pressed,Late Response,Time Sent Utc,Detail,Finger Used
0,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,1017,OnlyColor,0,118.878609,87.64309,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
1,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,567,OnlyColor,1,120.807213,53.3099861,ONLYCOLOR,1,White,White,White,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
2,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,383,OnlyColor,2,120.057175,65.85852,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
3,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,550,OnlyColor,3,119.04467,88.77604,ONLYCOLOR,1,Green,Green,Green,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
4,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,500,OnlyColor,4,121.212433,47.3845634,ONLYCOLOR,1,White,White,White,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
5,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,600,OnlyColor,5,119.315231,81.8530045,ONLYCOLOR,0,Green,Green,Pink,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
6,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,566,OnlyColor,6,117.639282,98.71716,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
7,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,517,OnlyColor,7,120.347122,78.6446838,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
8,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,466,OnlyColor,8,119.356056,132.786316,ONLYCOLOR,1,White,White,White,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
9,2024-10-01T19:01:02.1480000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_test,Successful,0,Initial,Windows 10,906,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.24.0,0,Chrome 129,3,-1,350,OnlyColor,9,120.456253,72.47216,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-01T19:01:02.1480000Z,N/A,N/A
