,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Trial Type,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Color Word Shown,Color Ink Shown,Color Pressed,Late Response,Time Sent Utc,Detail,Finger Used
11,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,566,OnlyColor,11,121.022629,79.10556,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
12,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,567,OnlyColor,12,120.8329,64.24106,ONLYCOLOR,0,Green,Green,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
13,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,783,OnlyColor,13,122.040024,59.9776459,ONLYCOLOR,1,White,White,White,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
14,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,583,OnlyColor,14,120.353539,53.230938,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
15,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,717,OnlyColor,15,113.901375,366.599152,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
16,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,850,Congruent,16,120.668205,75.36265,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
17,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,867,Incongruent,17,120.8631,61.99888,INCONGRUENT,1,Pink,White,White,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
18,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,700,Congruent,18,121.89109,85.31965,CONGRUENT,1,Green,Green,Green,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
19,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,717,Incongruent,19,121.258026,64.99665,INCONGRUENT,1,White,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
20,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,1100,Incongruent,20,121.393166,64.1247,INCONGRUENT,1,White,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
21,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,717,Congruent,21,108.245384,580.8389,CONGRUENT,1,Orange,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
22,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,792,616,Congruent,0,118.375717,112.645332,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
23,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,792,617,Incongruent,1,117.421738,95.06467,INCONGRUENT,1,Orange,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
24,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,782,483,Incongruent,2,120.001381,128.876282,INCONGRUENT,1,Pink,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
25,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,762,317,Incongruent,3,117.245819,116.3629,INCONGRUENT,1,Green,Orange,Orange,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
26,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,782,517,Congruent,4,119.184837,118.554062,CONGRUENT,1,Orange,Orange,Orange,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
27,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,732,367,Incongruent,5,118.168938,108.816048,INCONGRUENT,1,Orange,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
28,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,762,633,Congruent,6,118.227173,129.195221,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
29,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,732,534,Congruent,7,118.759605,84.3034,CONGRUENT,1,Green,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
30,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,692,783,Congruent,8,118.664124,173.074,CONGRUENT,1,White,White,White,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
31,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,692,650,Incongruent,9,117.486771,85.69466,INCONGRUENT,1,White,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
32,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,732,400,Congruent,10,118.745689,60.0727654,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
33,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,642,517,Incongruent,11,117.609947,94.3075562,INCONGRUENT,1,Pink,Orange,Orange,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
34,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,582,684,Incongruent,12,117.192459,93.32783,INCONGRUENT,1,Pink,White,White,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
35,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,622,550,Incongruent,13,118.736824,128.854919,INCONGRUENT,0,White,Green,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
36,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,722,800,Congruent,14,120.317467,127.029205,CONGRUENT,1,Orange,Orange,Orange,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
37,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,762,501,Congruent,15,119.496483,101.7232,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
38,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,702,500,Incongruent,16,116.20826,54.58683,INCONGRUENT,1,Orange,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
39,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,692,550,Incongruent,17,119.02932,77.7149353,INCONGRUENT,1,White,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
40,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,752,567,Congruent,18,119.234367,125.9507,CONGRUENT,1,Orange,Orange,Orange,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
41,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,672,550,Incongruent,19,118.192917,118.704712,INCONGRUENT,1,Orange,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
42,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,732,517,Congruent,20,117.671951,90.50065,CONGRUENT,0,Green,Green,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
43,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,772,567,Congruent,21,119.606781,139.957642,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
44,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,642,650,Incongruent,22,119.49144,120.754768,INCONGRUENT,1,Green,Orange,Orange,1,2024-10-23T20:19:08.6850000Z,N/A,N/A
45,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,682,633,Incongruent,23,117.776886,185.422318,INCONGRUENT,1,Pink,White,White,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
46,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,672,500,Incongruent,24,119.3989,120.581512,INCONGRUENT,1,White,Green,Green,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
47,2024-10-23T20:19:08.6850000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172z971436g3640,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,Apple GPU,0,17,10,1,128,1.22.33,0,Safari 17.4,3,762,567,Congruent,25,118.398277,95.2631,CONGRUENT,1,Pink,Pink,Pink,0,2024-10-23T20:19:08.6850000Z,N/A,N/A
