,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
58,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,11000,9,64.32104,11.7614613,DEFAULT,1,6,2916,7000,6,"{249, 41}",566,"{446, 61}",467,"{640, 122}",500,"{49, 102}",483,"{99, 293}",467,"{427, 315}",433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
59,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,10,64.25785,9.838846,DEFAULT,1,7,2767,8000,7,"{49, 102}",317,"{249, 41}",416,"{230, 224}",317,"{99, 293}",517,"{591, 244}",366,"{456, 183}",417,"{446, 61}",417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
60,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,11,64.35299,10.0878267,DEFAULT,0,7,2867,8000,5,"{456, 183}",500,"{591, 244}",600,"{99, 293}",533,"{230, 224}",584,"{49, 102}",650,"{427, 315}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
61,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,12,64.2989044,10.7416019,DEFAULT,0,7,3300,8000,4,"{99, 293}",884,"{640, 122}",500,"{230, 224}",1116,"{591, 244}",800,"{456, 183}",N/A,"{249, 41}",N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
62,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,13,64.36129,10.81391,DEFAULT,1,7,6816,8000,7,"{249, 41}",466,"{446, 61}",667,"{230, 224}",500,"{456, 183}",1650,"{591, 244}",667,"{640, 122}",2300,"{99, 293}",566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
63,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,14,64.2973251,10.0881052,DEFAULT,0,7,2700,8000,5,"{49, 102}",733,"{591, 244}",550,"{230, 224}",467,"{446, 61}",500,"{427, 315}",450,"{249, 41}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
64,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,15,64.3152,9.74538,DEFAULT,1,7,3983,8000,7,"{49, 102}",383,"{456, 183}",450,"{640, 122}",584,"{249, 41}",600,"{230, 224}",950,"{591, 244}",516,"{427, 315}",500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
65,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,12000,16,64.32582,9.733383,DEFAULT,1,7,3867,8000,7,"{446, 61}",367,"{249, 41}",383,"{640, 122}",367,"{49, 102}",417,"{591, 244}",650,"{427, 315}",1166,"{456, 183}",517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
66,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,17,64.3589859,10.2651272,DEFAULT,0,8,3733,9000,6,"{591, 244}",483,"{230, 224}",634,"{49, 102}",500,"{456, 183}",816,"{249, 41}",550,"{427, 315}",750,"{99, 293}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
67,2024-10-24T12:56:00.5140000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,13000,18,64.2317657,8.634951,DEFAULT,0,8,5183,9000,6,"{591, 244}",333,"{446, 61}",650,"{456, 183}",650,"{427, 315}",1867,"{249, 41}",983,"{99, 293}",700,"{49, 102}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-10-24T12:56:00.5140000Z,N/A,N/A
