,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Trial Cue,Trial Response,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Trial Correct,RG Color Deficiency,Time Sent Utc,Detail,Finger Used
11,2024-10-24T12:47:29.3300000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,-1,-1,-1,4,63.8384628,15.25274,DEFAULT,1,N/A,2024-10-24T12:47:29.3300000Z,N/A,N/A
12,2024-10-24T12:47:29.3300000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,7,7,-1,5,64.1778946,8.263417,DEFAULT,1,N/A,2024-10-24T12:47:29.3300000Z,N/A,N/A
13,2024-10-24T12:47:29.3300000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_p17b29773735995,Successful,0,Real,Windows 10,938,1498,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics Direct3D11 vs_5_0 ps_5_0), or similar",0,17,10,1,128,1.22.33,0,Firefox 131,3,97,97,-1,6,64.4030762,7.95317554,DEFAULT,1,N/A,2024-10-24T12:47:29.3300000Z,N/A,N/A
14,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,12,12,-1,0,121.87999,48.742794,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
15,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,-1,-1,-1,1,120.668251,41.53698,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
16,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,29,29,-1,2,120.727287,46.40436,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
17,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,74,74,-1,3,120.394554,45.92327,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
18,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,97,97,-1,4,120.330544,38.788662,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
19,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,5,5,-1,5,120.014931,46.9911346,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
20,2024-10-22T16:15:47.8970000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172961p31629m81,Successful,0,Real,Mac OS X 10_15_7,1598,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,17,30,1,128,1.22.33,0,Chrome 129,3,26,26,-1,6,120.665062,46.2728043,DEFAULT,1,N/A,2024-10-22T16:15:47.8970000Z,N/A,N/A
21,2024-10-24T00:59:15.2650000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_17v297313h20163,Successful,0,Real,Windows 10,925,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001681) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,12,12,-1,0,84.3479462,558.7631,DEFAULT,1,N/A,2024-10-24T00:59:15.2650000Z,N/A,N/A
22,2024-10-24T00:59:15.2650000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_17v297313h20163,Successful,0,Real,Windows 10,925,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001681) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,57,57,-1,1,85.4166,584.445068,DEFAULT,1,N/A,2024-10-24T00:59:15.2650000Z,N/A,N/A
23,2024-10-24T00:59:15.2650000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_17v297313h20163,Successful,0,Real,Windows 10,925,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001681) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,-1,-1,-1,2,90.99133,674.3667,DEFAULT,1,N/A,2024-10-24T00:59:15.2650000Z,N/A,N/A
24,2024-10-24T00:59:15.2650000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_17v297313h20163,Successful,0,Real,Windows 10,925,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001681) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 130,3,16,16,-1,3,87.89693,645.1905,DEFAULT,1,N/A,2024-10-24T00:59:15.2650000Z,N/A,N/A
